Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
plastic_01,50,2000x4000,3,6670500,64.2,3.00,3,6655846,64.2,0.0,0,-0.22%
plastic_02,50,2000x4000,3,4007226,72.9,3.00,3,3630528,72.9,0.0,0,-9.40%
plastic_03,43,2000x4000,2,813963,78.6,2.00,2,1252611,78.6,0.0,0,53.89%
plastic_04,36,2000x4000,2,2140603,72.3,2.00,2,2478326,72.3,0.0,0,15.78%
plastic_05,33,2000x4000,2,4873891,58.5,2.00,2,5212283,58.5,0.0,0,6.94%
plastic_06,41,2000x4000,2,2229325,70.4,2.00,2,2976650,70.4,0.0,0,33.52%
plastic_07,41,2000x4000,2,3459680,66.7,2.00,2,3092373,66.7,0.0,0,-10.62%
plastic_08,45,2000x4000,2,948924,79.7,2.00,2,699791,79.7,0.0,0,-26.25%
plastic_09,33,2000x4000,2,5083542,54.6,2.00,2,6065416,54.6,0.0,0,19.31%
plastic_10,30,2000x4000,2,7076140,49.1,2.00,2,6759015,49.1,0.0,0,-4.48%
plastic_11,37,2000x4000,2,3003694,64.0,2.00,2,3592915,64.0,0.0,0,19.62%
plastic_12,49,2000x4000,2,744637,84.2,2.00,2,941168,84.2,0.0,0,26.39%
plastic_13,45,2000x4000,2,1155010,81.6,2.00,2,1204668,81.6,0.0,0,4.30%
plastic_14,39,2000x4000,2,2599023,72.5,2.00,2,2590758,72.5,0.0,0,-0.32%
plastic_15,44,2000x4000,2,979799,81.0,2.00,2,958103,81.0,0.0,0,-2.21%
plastic_16,33,2000x4000,2,5811039,55.4,2.00,2,5661430,55.4,0.0,0,-2.57%
plastic_17,38,2000x4000,2,1546741,74.4,2.00,2,2094684,74.4,0.0,0,35.43%
plastic_18,47,2000x4000,3,6264570,63.8,3.00,3,5686045,63.8,0.0,0,-9.23%
plastic_19,42,2000x4000,2,1379686,79.3,2.00,2,1173694,79.3,0.0,0,-14.93%
plastic_20,50,2000x4000,2,460442,82.5,2.00,2,645128,82.5,0.0,0,40.11%
plastic_21,45,2000x4000,2,896511,80.4,2.00,2,1100801,80.4,0.0,0,22.79%
plastic_22,50,2000x4000,3,8182938,59.7,3.00,3,7785435,59.7,0.0,0,-4.86%
plastic_23,33,2000x4000,2,5076430,60.1,2.00,2,4315611,60.1,0.0,0,-14.99%
plastic_24,49,2000x4000,2,1006299,81.5,2.00,2,1198844,81.5,0.0,0,19.13%
plastic_25,39,2000x4000,2,1154776,70.4,2.00,2,2118837,70.4,0.0,0,83.48%
plastic_26,41,2000x4000,2,1753551,78.3,2.00,2,1533390,78.3,0.0,0,-12.56%
plastic_27,36,2000x4000,2,2737948,69.3,2.00,2,2665308,69.3,0.0,0,-2.65%
plastic_28,32,2000x4000,2,5341633,58.5,2.00,2,4818761,58.5,0.0,0,-9.79%
plastic_29,33,2000x4000,2,4360655,61.2,2.00,2,4814979,61.2,0.0,0,10.42%
plastic_30,39,2000x4000,2,3479506,66.1,2.00,2,3686394,66.1,0.0,0,5.95%
