Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
set_A (10x5x5),10,15x20,1,50,83.3,1.00,1,50,83.3,0.0,0,0.00%
set_B (смесь),10,20x20,1,0,77.8,1.00,1,42,77.8,0.0,0,0.00%
set_C (крупные),6,20x20,2,0,78.1,2.00,2,0,78.1,0.0,0,0.00%
Набор 1 (20x4x4),20,20x20,1,80,80.0,1.00,1,80,80.0,0.0,0,0.00%
Набор 2 (мелкие+крупные),16,20x20,2,334,52.0,2.00,2,355,52.0,0.0,0,6.29%
Набор 3 (полосы),12,20x20,2,308,58.5,2.00,2,312,58.5,0.0,0,1.30%
Набор 4 (мебель),12,20x20,3,352,60.0,2.00,2,0,90.0,33.3,1,13.64%
"milli_metal_1 (лист 2000x3000,",18,2000x3000,1,5877900,1.7,1.00,1,5877900,1.7,0.0,0,0.00%
"milli_metal_2 (лист 2500x1250,",14,2500x1250,1,2873775,6.6,1.00,1,2873775,6.6,0.0,0,0.00%
milli_plywood_1 (фанера 2440x1,15,2440x1220,1,2219300,24.1,1.00,1,2227900,24.1,0.0,0,0.39%
milli_plywood_2 (фанера 3050x1,14,3050x1525,1,3181800,30.1,1.00,1,3215750,30.1,0.0,0,1.07%
milli_plastic_1 (ПВХ 2000x4000,12,2000x4000,1,7116500,11.0,1.00,1,7116500,11.0,0.0,0,0.00%
milli_plastic_2 (поликарбонат ,13,2100x12000,1,22406000,10.1,1.00,1,22524000,10.1,0.0,0,0.53%
milli_glass_1 (стекло 3210x200,13,3210x2000,1,3019000,51.1,1.00,1,3004200,51.1,0.0,0,-0.49%
milli_glass_2 (стекло 2250x321,13,2250x3210,1,2772900,61.1,1.00,1,2712500,61.1,0.0,0,-2.18%
milli_aluminum_1 (алюминий 150,11,1500x3000,1,4297200,4.5,1.00,1,4297200,4.5,0.0,0,0.00%
milli_composite_1 (композит 25,14,2500x1200,1,2011600,32.2,1.00,1,2016100,32.2,0.0,0,0.22%
"safe_metal_20 (лист 1500x3000,",20,1500x3000,2,3758000,57.3,2.00,2,3682500,57.3,0.0,0,-2.01%
safe_plywood_30 (фанера 2440x1,30,2440x1220,2,2979725,50.0,2.00,2,2979725,50.0,0.0,0,0.00%
safe_aluminum_40 (лист 1500x30,39,1500x3000,1,1759150,60.9,1.00,1,1759150,60.9,0.0,0,0.00%
safe_plastic_50 (ПВХ 2000x4000,50,2000x4000,1,2001355,74.9,1.00,1,1994440,74.9,0.0,0,-0.35%
safe_glass_60 (стекло 3210x200,60,3210x2000,1,4949765,22.7,1.00,1,4961069,22.7,0.0,0,0.23%
safe_wood_25 (массив 2000x1000,25,2000x1000,1,872415,56.4,1.00,1,872415,56.4,0.0,0,0.00%
safe_metal_long_35 (лист 2000x,35,2000x6000,1,9445225,21.2,1.00,1,9440092,21.2,0.0,0,-0.05%
safe_plastic_mix_45 (лист 2000,43,2000x3000,1,1462597,75.5,1.00,1,1464839,75.5,0.0,0,0.15%
safe_glass_huge_55 (лист 4000x,53,4000x2500,2,10760586,46.1,2.00,2,10768084,46.1,0.0,0,0.07%
safe_mix_30 (лист 2500x1800),31,2500x1800,1,2252418,49.9,1.00,1,2253034,49.9,0.0,0,0.03%
hard_metal_2large_20small (200,22,2000x3000,2,3890000,63.1,2.00,2,3220000,63.1,0.0,0,-17.22%
hard_furniture_mix (2800x2070),20,2800x2070,2,3106000,71.3,2.00,2,2971000,71.3,0.0,0,-4.35%
hard_glass_long_strips (3210x2,16,3210x2000,3,8747500,54.4,2.00,2,2347500,81.6,33.3,1,0.23%
hard_plywood_blocks (2440x1220,20,2440x1220,2,1376800,75.2,2.00,2,1424800,75.2,0.0,0,3.49%
hard_plastic_complex (2000x400,20,2000x4000,3,7965000,66.8,3.00,3,7965000,66.8,0.0,0,0.00%
hard_aluminum_tricky (1500x300,20,1500x3000,2,3877875,56.9,2.00,2,3877875,56.9,0.0,0,0.00%
hard_steel_mix (2000x6000),20,2000x6000,2,6105750,74.6,2.00,2,6105750,74.6,0.0,0,0.00%
hard_glass_squares (2250x3210),16,2250x3210,3,9242500,57.2,3.00,3,9242500,57.2,0.0,0,0.00%
hard_wood_varied (2000x1000),20,2000x1000,2,1552750,61.2,2.00,2,1552750,61.2,0.0,0,0.00%
hard_composite_extreme (2500x1,20,2500x1200,2,3236825,46.1,2.00,2,3236825,46.1,0.0,0,0.00%
