Набор,Дет,WxH,FFD л,FFD ост (пл),FFD ост (шт),FFD %,SA ср,SA л,SA ост (пл),SA ост (шт),SA %,Улучш%,Δ лист,Тип,Выгода ост% (при равных листах)
composite_directional_01,37,2500x1800,4,6290372,37,63.3,3.60,3,1736386,35,84.4,25.0,1,Экономия листов,-
fabric_02,31,1500x5000,1,791945,16,80.0,1.00,1,876701,43,80.0,0.0,0,Улучшение заполнения,10.70%
metal_directional_03,25,1500x3000,3,2580698,22,75.4,3.00,3,3188787,59,75.4,0.0,0,Улучшение заполнения,23.56%
fabric_04,30,1500x5000,2,6727626,33,51.4,2.00,2,6990165,41,51.4,0.0,0,Улучшение заполнения,3.90%
composite_directional_05,37,2500x1800,3,2969825,19,75.4,3.00,3,3193482,36,75.4,0.0,0,Улучшение заполнения,7.53%
composite_directional_06,35,2500x1800,2,718555,9,86.3,2.40,2,894640,13,86.3,0.0,0,Улучшение заполнения,24.51%
laminate_07,38,2800x2070,3,3849701,24,72.9,3.00,3,4003336,50,72.9,0.0,0,Улучшение заполнения,3.99%
composite_directional_08,42,2500x1800,3,1985053,48,81.6,3.00,3,2273846,27,81.6,0.0,0,Улучшение заполнения,14.55%
fabric_09,30,1500x5000,2,4632397,42,64.3,2.00,2,5150148,74,64.3,0.0,0,Улучшение заполнения,11.18%
vinyl_10,22,2000x20000,1,2570094,7,83.4,1.00,1,3841586,29,83.4,0.0,0,Улучшение заполнения,49.47%
paper_11,60,1000x1400,7,1468206,50,80.7,7.20,7,1647223,70,80.7,0.0,0,Улучшение заполнения,12.19%
composite_directional_12,31,2500x1800,2,1084454,27,86.0,2.20,2,989674,32,86.0,0.0,0,Ухудшение заполнения,-8.74%
vinyl_13,26,2000x20000,2,25692581,17,59.1,2.00,2,30410565,27,59.1,0.0,0,Улучшение заполнения,18.36%
laminate_14,25,2800x2070,2,2246941,28,71.6,2.00,2,2917257,29,71.6,0.0,0,Улучшение заполнения,29.83%
vinyl_15,17,2000x20000,2,35124630,13,52.6,2.00,2,35581502,18,52.6,0.0,0,Улучшение заполнения,1.30%
vinyl_16,21,2000x20000,1,3864624,10,80.0,1.20,1,4834073,13,80.0,0.0,0,Улучшение заполнения,25.09%
paper_17,39,1000x1400,5,1881575,51,70.0,4.80,4,511557,30,87.5,20.0,1,Экономия листов,-
metal_directional_18,29,1500x3000,2,1435260,26,78.6,2.00,2,1678249,39,78.6,0.0,0,Улучшение заполнения,16.93%
metal_directional_19,26,1500x3000,2,1010351,33,84.6,2.00,2,1234232,36,84.6,0.0,0,Улучшение заполнения,22.16%
paper_20,41,1000x1400,6,1321737,33,78.8,6.00,6,1634243,60,78.8,0.0,0,Улучшение заполнения,23.64%
metal_directional_21,31,1500x3000,4,4757566,30,69.8,4.00,4,5233660,67,69.8,0.0,0,Улучшение заполнения,10.01%
composite_directional_22,34,2500x1800,3,5316442,39,57.6,2.20,2,988705,42,86.5,33.3,1,Экономия листов,-
laminate_23,28,2800x2070,2,3241504,16,63.7,2.00,2,3884071,26,63.7,0.0,0,Улучшение заполнения,19.82%
fabric_24,26,1500x5000,1,884355,29,79.8,1.00,1,1215793,75,79.8,0.0,0,Улучшение заполнения,37.48%
fabric_25,34,1500x5000,1,572273,23,84.9,1.00,1,677758,23,84.9,0.0,0,Улучшение заполнения,18.43%
laminate_26,27,2800x2070,2,3063374,12,64.4,2.00,2,3621415,18,64.4,0.0,0,Улучшение заполнения,18.22%
composite_directional_27,34,2500x1800,3,4223340,22,65.7,3.00,3,4461934,64,65.7,0.0,0,Улучшение заполнения,5.65%
composite_directional_28,40,2500x1800,2,478916,32,89.6,2.80,2,751218,32,89.6,0.0,0,Улучшение заполнения,56.86%
composite_directional_29,35,2500x1800,3,2637338,31,78.2,3.00,3,2792644,71,78.2,0.0,0,Улучшение заполнения,5.89%
paper_30,54,1000x1400,8,2568049,50,72.3,7.60,7,1304301,60,82.6,12.5,1,Экономия листов,-
metal_directional_31,20,1500x3000,2,4621225,11,45.5,2.00,2,4817575,42,45.5,0.0,0,Улучшение заполнения,4.25%
laminate_32,39,2800x2070,3,5759318,5,60.9,3.00,3,6071254,35,60.9,0.0,0,Улучшение заполнения,5.42%
paper_33,38,1000x1400,6,1605061,20,74.8,6.00,6,1911364,65,74.8,0.0,0,Улучшение заполнения,19.08%
vinyl_34,28,2000x20000,2,6928675,20,85.6,2.80,2,6965796,15,85.6,0.0,0,Улучшение заполнения,0.54%
